symbol,trades,wins,win_rate,profit_r,profit_usd,avg_r_per_trade
AUD_JPY,74,47,63.5,34.63,24243.28,0.468
USD_CHF,80,49,61.3,28.27,19786.81,0.353
USD_JPY,81,47,58.0,25.89,18120.21,0.32
GBP_JPY,79,45,57.0,21.38,14966.16,0.271
GBP_NZD,88,50,56.8,20.18,14129.34,0.229
SPX500_USD,71,39,54.9,20.05,14037.44,0.282
NAS100_USD,62,33,53.2,19.96,13972.38,0.322
CHF_JPY,75,42,56.0,18.68,13073.27,0.249
USD_CAD,115,63,54.8,18.21,12746.48,0.158
XAU_USD,69,36,52.2,17.98,12585.4,0.261
EUR_USD,86,46,53.5,16.04,11227.92,0.187
GBP_CAD,69,38,55.1,11.96,8368.56,0.173
GBP_CHF,66,37,56.1,11.44,8005.97,0.173
GBP_AUD,87,45,51.7,10.27,7187.5,0.118
AUD_CAD,95,53,55.8,10.26,7181.4,0.108
EUR_NZD,74,37,50.0,8.06,5641.28,0.109
XAG_USD,62,28,45.2,7.49,5240.2,0.121
GBP_USD,84,41,48.8,7.45,5217.32,0.089
EUR_CAD,63,30,47.6,2.7,1890.76,0.043
NZD_CHF,62,30,48.4,1.15,807.64,0.019
BTC_USD,135,55,40.7,-0.17,-120.08,-0.001
EUR_JPY,84,38,45.2,-0.8,-560.54,-0.01
EUR_GBP,71,36,50.7,-2.49,-1740.4,-0.035
AUD_CHF,52,24,46.2,-2.75,-1924.42,-0.053
AUD_USD,92,44,47.8,-2.91,-2033.96,-0.032
ETH_USD,118,47,39.8,-3.11,-2174.85,-0.026
CAD_CHF,57,23,40.4,-6.76,-4728.59,-0.119
CAD_JPY,81,35,43.2,-7.25,-5075.3,-0.09
AUD_NZD,74,30,40.5,-8.43,-5898.56,-0.114
EUR_AUD,75,27,36.0,-13.08,-9155.19,-0.174
NZD_CAD,90,38,42.2,-13.78,-9644.62,-0.153
NZD_USD,91,34,37.4,-18.28,-12795.02,-0.201
EUR_CHF,88,36,40.9,-19.84,-13887.82,-0.225
NZD_JPY,76,26,34.2,-21.76,-15231.82,-0.286
TOTAL,2726,1329,48.8,190.65,133458.17,0.07
