timestamp,event_type,daily_dd_pct,total_dd_pct,equity,balance,open_trades,floating_pnl,trades_closed_count
2023-03-13 09:00:00+00:00,daily_protective_close,4.5141346697190725,2.397859911423887,58561.28405314567,59276.91618882193,23,-151.41594685434012,23
2023-03-15 10:00:00+00:00,daily_protective_close,4.486937777923158,-0.9891592484617406,60593.495549077044,62679.402506209786,21,1316.5793602551153,21
2023-05-02 08:00:00+00:00,daily_protective_close,4.505342270394689,-35.721299764600936,81432.77985876056,82164.96906119067,47,1706.5873525507866,47
2023-05-05 12:00:00+00:00,daily_protective_close,4.488379873618708,-33.62240176229309,80173.44105737585,81380.03602467584,23,-1150.4580038148088,23
2023-07-27 17:00:00+00:00,daily_protective_close,7.4927757735926415,-52.83203109864694,91699.21865918816,93300.84046244028,55,-4101.177365487633,55
2023-08-31 15:00:00+00:00,daily_protective_close,4.371671647247245,-67.66037602309997,100596.22561385998,101875.35701200654,40,-691.0348485803014,40
2023-10-03 14:00:00+00:00,daily_protective_close,4.7879310429186015,-54.60385062303804,92762.31037382282,96257.172494961,33,1192.233361816341,33
2024-05-01 20:00:00+00:00,daily_protective_close,11.274328951005947,-128.49199995124155,137095.19997074493,143400.8269712892,56,-3272.4725242162335,56
2024-06-07 12:00:00+00:00,daily_protective_close,4.8164361040524275,-140.54343757153654,144326.06254292192,148166.97648266592,37,-969.574428367344,37
2024-07-11 12:00:00+00:00,daily_protective_close,4.309425416867847,-149.4170475593926,149650.22853563557,152300.19046883544,29,-1353.447947030365,29
